datenum     old-prequal    old-postqual     new-prequal    new-postqual
 735965        30000.00        31000.00             NaN             NaN
 735996        30000.00        31000.00             NaN             NaN
 736024        30000.00        31000.00             NaN             NaN
 736055        30000.00        31000.00             NaN             NaN
 736085        30000.00        31000.00             NaN             NaN
 736116        30000.00        31000.00             NaN             NaN
 736146        30000.00        31000.00             NaN             NaN
 736177        30000.00        31000.00             NaN             NaN
 736208        30000.00        31000.00             NaN             NaN
 736238        30000.00        31000.00             NaN             NaN
 736269        30000.00        31000.00             NaN             NaN
 736299        30000.00        31000.00             NaN             NaN
 736330        30000.00        31000.00             NaN             NaN
 736361        30000.00        31000.00             NaN             NaN
 736390        30000.00        31000.00             NaN             NaN
 736421        30000.00        31000.00             NaN             NaN
 736451        30000.00        31000.00             NaN             NaN
 736482        30000.00        31000.00             NaN             NaN
 736512        30000.00        31000.00             NaN             NaN
 736543        30000.00        31000.00             NaN             NaN
 736574        30000.00        31000.00             NaN             NaN
 736604        30000.00        31000.00             NaN             NaN
 736635        30000.00        31000.00             NaN             NaN
 736665        30000.00        31000.00             NaN             NaN
 736696        30000.00        31000.00             NaN             NaN
 736727        30000.00        31000.00             NaN             NaN
 736755        30000.00        31000.00             NaN             NaN
 736786        30000.00        31000.00             NaN             NaN
 736816        30000.00        31000.00             NaN             NaN
 736847        30000.00        31000.00             NaN             NaN
 736877        30000.00        31000.00             NaN             NaN
 736908        30000.00        31000.00             NaN             NaN
 736939        30000.00        31000.00             NaN             NaN
 736969        30000.00        31000.00             NaN             NaN
 737000        30000.00        31000.00             NaN             NaN
 737030        30000.00        31000.00             NaN             NaN
 737061        30000.00        31000.00             NaN             NaN
 737092        30000.00        31000.00             NaN             NaN
 737120        30000.00        31000.00             NaN             NaN
 737151        30000.00        31000.00             NaN             NaN
 737181        30000.00        31000.00             NaN             NaN
 737212        30000.00        31000.00             NaN             NaN
 737242        30000.00        31000.00             NaN             NaN
 737273        30000.00        31000.00             NaN             NaN
 737304        30000.00        31000.00             NaN             NaN
 737334        30000.00        31000.00             NaN             NaN
 737365        30000.00        31000.00             NaN             NaN
 737395        30000.00        31000.00             NaN             NaN
 737426        30000.00        31000.00             NaN             NaN
 737457        30000.00        31000.00             NaN             NaN
 737485        30000.00        31000.00             NaN             NaN
 737516        30000.00        31000.00             NaN             NaN
 737546        30000.00        31000.00             NaN             NaN
 737577        30000.00        31000.00             NaN             NaN
 737607        32000.00        33000.00             NaN             NaN
 737638        32000.00        33000.00             NaN             NaN
 737669        32000.00        33000.00             NaN             NaN
 737699        32000.00        33000.00             NaN             NaN
 737730        32000.00        33000.00             NaN             NaN
 737760        32000.00        33000.00             NaN             NaN
 737791        32000.00        33000.00             NaN             NaN
 737822        32000.00        33000.00             NaN             NaN
 737851        32000.00        33000.00             NaN             NaN
 737882        32000.00        33000.00             NaN             NaN
 737912        32000.00        33000.00             NaN             NaN
 737943        32000.00        33000.00             NaN             NaN
 737973        32000.00        33000.00             NaN             NaN
 738004        32000.00        33000.00             NaN             NaN
 738035        32000.00        33000.00             NaN             NaN
 738065        32000.00        33000.00             NaN             NaN
 738096        32000.00        33000.00             NaN             NaN
 738126        32000.00        33000.00             NaN             NaN
 738157        32000.00        33000.00             NaN             NaN
 738188        32000.00        33000.00             NaN             NaN
 738216        32000.00        33000.00             NaN             NaN
 738247        32000.00        33000.00             NaN             NaN
 738277        32000.00        33000.00             NaN             NaN
 738308        32000.00        33000.00             NaN             NaN
 738338        33000.00        34000.00             NaN             NaN
 738369        33000.00        34000.00             NaN             NaN
 738400        33000.00        34000.00             NaN             NaN
 738430        33000.00        34000.00             NaN             NaN
 738461        33000.00        34000.00             NaN             NaN
 738491        33000.00        34000.00             NaN             NaN
 738522        33000.00        34000.00             NaN             NaN
 738553        33000.00        34000.00             NaN             NaN
 738581        33000.00        34000.00             NaN             NaN
 738612        33000.00        34000.00             NaN             NaN
 738642        33000.00        34000.00             NaN             NaN
 738673        33000.00        34000.00             NaN             NaN
 738703        34000.00        35000.00             NaN             NaN
 738734        34000.00        35000.00             NaN             NaN
 738765        34000.00        35000.00             NaN             NaN
 738795        34000.00        35000.00             NaN             NaN
 738826        34000.00        35000.00             NaN             NaN
 738856        34000.00        35000.00             NaN             NaN
 738887        34000.00        35000.00             NaN             NaN
 738918        34000.00        35000.00             NaN             NaN
 738946        34000.00        35000.00             NaN             NaN
 738977        35485.60        38147.02             NaN             NaN
 739007        35485.60        38147.02             NaN             NaN
 739038        35485.60        38147.02             NaN             NaN
 739068        35485.60        38147.02             NaN             NaN
 739099        35485.60        38147.02             NaN             NaN
 739130        35485.60        38147.02        35457.50        38205.50
 739160        37756.80        40588.56        37727.00        40651.00
